continent,location,date,total_cases,new_cases,total_deaths,new_deaths,population,median_age,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,life_expectancy,human_development_index
Europe,Belgium,2020-09-30,117021.0,15.0,10001.0,0.0,11589616.0,41.8,114.898,4.29,25.1,31.4,0.0,81.63,0.9159999999999999
Africa,Benin,2020-09-30,2340.0,0.0,40.0,0.0,12123198.0,18.8,235.84799999999998,0.99,0.6,12.3,11.035,61.77,0.515
North America,Bonaire Sint Eustatius and Saba,2020-09-30,106.0,0.0,1.0,0.0,26221.0,0.0,0.0,0.0,0.0,0.0,0.0,77.79,0.0
Africa,Burkina Faso,2020-09-30,2032.0,4.0,58.0,1.0,20903278.0,17.6,269.048,2.42,1.6,23.9,11.877,61.58,0.423
Asia,Bangladesh,2020-09-30,362043.0,1488.0,5219.0,26.0,164689383.0,27.5,298.003,8.38,1.0,44.7,34.808,72.59,0.608
Europe,Bulgaria,2020-09-30,20547.0,276.0,814.0,7.0,6948445.0,44.7,424.68800000000005,5.81,30.1,44.4,0.0,75.05,0.813
Asia,Bahrain,2020-09-30,70422.0,574.0,246.0,1.0,1701583.0,32.4,151.689,16.52,5.8,37.6,0.0,77.29,0.846
North America,Bahamas,2020-09-30,3903.0,65.0,91.0,2.0,393248.0,34.3,235.954,13.17,3.1,20.4,0.0,73.92,0.807
Europe,Bosnia and Herzegovina,2020-09-30,27222.0,225.0,836.0,14.0,3280815.0,42.5,329.635,10.08,30.2,47.7,97.164,77.4,0.768
Europe,Belarus,2020-09-30,78260.0,314.0,828.0,6.0,9449321.0,40.3,443.129,5.18,10.5,46.1,0.0,74.79,0.8079999999999999
North America,Belize,2020-09-30,1943.0,52.0,26.0,2.0,397621.0,25.0,176.957,17.11,0.0,0.0,90.083,74.62,0.708
North America,Bermuda,2020-09-30,181.0,0.0,9.0,0.0,62273.0,0.0,139.547,13.0,0.0,0.0,0.0,82.59,0.0
South America,Bolivia,2020-09-30,134641.0,333.0,7931.0,31.0,11673029.0,25.4,204.299,6.89,0.0,0.0,25.383000000000003,71.51,0.693
South America,Brazil,2020-09-30,4777522.0,32058.0,142921.0,863.0,212559409.0,33.5,177.96099999999998,8.11,10.1,17.9,0.0,75.88,0.759
North America,Barbados,2020-09-30,190.0,0.0,7.0,0.0,287371.0,39.8,170.05,13.57,1.9,14.5,88.469,79.19,0.8
Asia,Brunei,2020-09-30,146.0,0.0,3.0,0.0,437483.0,32.4,201.285,12.79,2.0,30.9,0.0,75.86,0.853
Asia,Bhutan,2020-09-30,281.0,1.0,0.0,0.0,771612.0,28.6,217.06599999999997,9.75,0.0,0.0,79.807,71.78,0.612
Africa,Botswana,2020-09-30,3172.0,0.0,16.0,0.0,2351625.0,25.8,237.372,4.81,5.7,34.4,0.0,69.59,0.7170000000000001
Africa,Central African Republic,2020-09-30,4825.0,19.0,62.0,0.0,4829764.0,18.3,435.727,6.1,0.0,0.0,16.602999999999998,53.28,0.36700000000000005
North America,Canada,2020-09-30,156961.0,1660.0,9291.0,13.0,37742157.0,41.4,105.59899999999999,7.37,12.0,16.6,0.0,82.43,0.9259999999999999
Europe,Switzerland,2020-09-30,52751.0,223.0,1781.0,2.0,8654618.0,43.1,99.73899999999999,5.59,22.6,28.9,0.0,83.78,0.9440000000000001
South America,Chile,2020-09-30,461300.0,1629.0,12725.0,27.0,19116209.0,35.4,127.993,8.46,34.2,41.5,0.0,80.18,0.843
Asia,China,2020-09-30,90528.0,23.0,4739.0,0.0,1439323774.0,38.7,261.899,9.74,1.9,48.4,0.0,76.91,0.752
Africa,Cote d'Ivoire,2020-09-30,19669.0,28.0,120.0,0.0,26378275.0,18.7,303.74,2.42,0.0,0.0,19.351,57.78,0.49200000000000005
Africa,Cameroon,2020-09-30,20838.0,0.0,418.0,0.0,26545864.0,18.8,244.66099999999997,7.2,0.0,0.0,2.735,59.29,0.556
Africa,Democratic Republic of Congo,2020-09-30,10630.0,6.0,271.0,0.0,89561404.0,17.0,318.949,6.1,0.0,0.0,4.4719999999999995,60.68,0.457
Africa,Congo,2020-09-30,5089.0,0.0,89.0,0.0,5518092.0,19.0,344.094,7.2,1.7,52.3,47.964,64.57,0.606
South America,Colombia,2020-09-30,824042.0,5839.0,25828.0,187.0,50882884.0,32.2,124.24,7.44,4.7,13.5,65.38600000000001,77.29,0.747
