,continent,location,total_cases,total_deaths,total_tests,tests_per_case,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,handwashing_facilities,hospital_beds_per_thousand,human_development_index
19403,North America,Haiti,8740.0,227.0,0.0,0.0,0.0,11402533.0,398.44800000000004,24.3,4.8,2.9539999999999997,1653.1729999999998,23.5,22.863000000000003,0.7,0.498
39077,Africa,South Sudan,2700.0,49.0,0.0,0.0,0.0,11193729.0,0.0,19.2,3.4410000000000003,2.032,1569.888,0.0,0.0,0.0,0.38799999999999996
17063,Africa,Gambia,3579.0,112.0,0.0,0.0,0.0,2416664.0,207.56599999999997,17.5,2.339,1.4169999999999998,1561.767,10.1,7.876,1.1,0.46
17251,Africa,Guinea-Bissau,2324.0,39.0,0.0,0.0,0.0,1967998.0,66.191,19.4,3.002,1.565,1548.675,67.1,6.403,0.0,0.455
13231,Africa,Eritrea,375.0,0.0,0.0,0.0,0.0,3546427.0,44.303999999999995,19.3,3.6069999999999998,2.171,1510.4589999999998,0.0,0.0,0.7,0.44
45938,Asia,Yemen,2035.0,588.0,0.0,0.0,0.0,29825968.0,53.508,20.3,2.9219999999999997,1.5830000000000002,1479.1470000000002,18.8,49.542,0.7,0.452
41532,Africa,Togo,1759.0,48.0,0.0,0.0,0.0,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,10.475,0.7,0.503
27878,Africa,Madagascar,16377.0,229.0,0.0,0.0,0.0,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,50.54,0.2,0.519
9529,Africa,Comoros,479.0,7.0,0.0,0.0,0.0,869595.0,437.352,20.4,2.963,1.726,1413.89,18.1,15.574000000000002,2.2,0.503
38012,Africa,Sierra Leone,2222.0,72.0,0.0,0.0,0.0,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,19.275,0.0,0.419
30027,Africa,Mozambique,8556.0,59.0,0.0,0.0,0.0,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,12.227,0.7,0.43700000000000006
30802,Africa,Malawi,5772.0,179.0,0.0,0.0,0.0,19129955.0,197.519,18.1,2.9789999999999996,1.7830000000000001,1095.042,71.4,8.704,1.3,0.47700000000000004
31665,Africa,Niger,1196.0,69.0,0.0,0.0,0.0,24206636.0,16.955,15.1,2.553,1.3780000000000001,926.0,44.5,8.978,0.3,0.354
8968,Africa,Democratic Republic of Congo,10630.0,271.0,0.0,0.0,0.0,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,4.4719999999999995,0.0,0.457
25172,Africa,Liberia,1343.0,82.0,0.0,0.0,0.0,5057677.0,49.126999999999995,19.2,3.057,1.756,752.788,38.6,1.188,0.8,0.435
3251,Africa,Burundi,506.0,1.0,0.0,0.0,0.0,11890781.0,423.06199999999995,17.5,2.562,1.504,702.225,71.7,6.144,0.8,0.41700000000000004
7326,Africa,Central African Republic,4825.0,62.0,0.0,0.0,0.0,4829764.0,7.479,18.3,3.655,2.251,661.24,0.0,16.602999999999998,1.0,0.36700000000000005
45097,North America,British Virgin Islands,71.0,1.0,0.0,0.0,0.0,30237.0,207.97299999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44512,Europe,Vatican,12.0,0.0,0.0,0.0,0.0,809.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16270,Europe,Guernsey,256.0,13.0,0.0,0.0,0.0,67052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10327,North America,Curacao,370.0,1.0,0.0,0.0,0.0,164100.0,362.644,41.7,16.367,10.068,0.0,0.0,0.0,0.0,0.0
16666,Europe,Gibraltar,391.0,0.0,0.0,0.0,0.0,33691.0,3457.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13389,Africa,Western Sahara,766.0,1.0,0.0,0.0,0.0,597330.0,0.0,28.4,0.0,1.38,0.0,0.0,0.0,0.0,0.0
45288,North America,United States Virgin Islands,1318.0,20.0,0.0,0.0,0.0,104423.0,306.48,42.2,18.601,10.799000000000001,0.0,0.0,0.0,0.0,0.0
15324,Europe,Faeroe Islands,463.0,0.0,0.0,0.0,0.0,48865.0,35.308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14840,South America,Falkland Islands,13.0,0.0,0.0,0.0,0.0,3483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20083,Europe,Isle of Man,340.0,24.0,0.0,0.0,0.0,85032.0,147.872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43038,Asia,Taiwan,514.0,7.0,0.0,0.0,0.0,23816775.0,0.0,42.2,0.0,8.353,0.0,0.0,0.0,0.0,0.0
852,North America,Anguilla,3.0,0.0,0.0,0.0,0.0,15002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31471,Oceania,New Caledonia,27.0,0.0,0.0,0.0,0.0,285491.0,15.342,33.4,9.954,6.489,0.0,0.0,0.0,0.0,0.0
30421,North America,Montserrat,13.0,1.0,0.0,0.0,0.0,4999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29835,Oceania,Northern Mariana Islands,70.0,2.0,0.0,0.0,0.0,57557.0,119.87799999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27479,Europe,Monaco,214.0,1.0,0.0,0.0,0.0,39244.0,19347.5,0.0,0.0,0.0,0.0,0.0,0.0,13.8,0.0
25788,Europe,Liechtenstein,120.0,1.0,0.0,0.0,0.0,38137.0,237.012,0.0,0.0,0.0,0.0,0.0,0.0,2.397,0.9159999999999999
35899,Oceania,French Polynesia,1666.0,7.0,0.0,0.0,0.0,280904.0,77.324,32.7,7.775,4.593,0.0,0.0,0.0,0.0,0.0
3906,North America,Bonaire Sint Eustatius and Saba,106.0,1.0,0.0,0.0,0.0,26221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38681,Africa,Somalia,3588.0,99.0,0.0,0.0,0.0,15893219.0,23.5,16.8,2.7310000000000003,1.496,0.0,0.0,9.831,0.9,0.0
22405,Europe,Jersey,409.0,32.0,0.0,0.0,0.0,101073.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1265,Europe,Andorra,1966.0,53.0,0.0,0.0,0.0,77265.0,163.755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.858
40936,Asia,Syria,4148.0,197.0,0.0,0.0,0.0,17500657.0,0.0,21.7,0.0,2.577,0.0,0.0,70.598,1.5,0.536
41126,North America,Turks and Caicos Islands,686.0,6.0,0.0,0.0,0.0,38718.0,37.312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10130,North America,Cuba,5531.0,122.0,0.0,0.0,0.0,11326616.0,110.40799999999999,43.1,14.738,9.719,0.0,0.0,85.198,5.2,0.777
18509,Oceania,Guam,2443.0,47.0,0.0,0.0,0.0,168783.0,304.128,31.4,9.551,5.492999999999999,0.0,0.0,0.0,0.0,0.0
18113,North America,Greenland,14.0,0.0,0.0,0.0,0.0,56772.0,0.13699999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47115,0,International,696.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
